trial,host_target_mode,host_touch_frame,guest_visible_frame,camera_fps,visible_latency_ms,projection_id,direct_apply,fallback,reorder_or_revert,notes
1,associations,,,,,,,,,
2,questions,,,,,,,,,
3,associations,,,,,,,,,
4,questions,,,,,,,,,
5,associations,,,,,,,,,
6,questions,,,,,,,,,
7,associations,,,,,,,,,
8,questions,,,,,,,,,
9,associations,,,,,,,,,
10,questions,,,,,,,,,
11,associations,,,,,,,,,
12,questions,,,,,,,,,
13,associations,,,,,,,,,
14,questions,,,,,,,,,
15,associations,,,,,,,,,
16,questions,,,,,,,,,
17,associations,,,,,,,,,
18,questions,,,,,,,,,
19,associations,,,,,,,,,
20,questions,,,,,,,,,
21,associations,,,,,,,,,
22,questions,,,,,,,,,
23,associations,,,,,,,,,
24,questions,,,,,,,,,
25,associations,,,,,,,,,
26,questions,,,,,,,,,
27,associations,,,,,,,,,
28,questions,,,,,,,,,
29,associations,,,,,,,,,
30,questions,,,,,,,,,
